word,pos,total,articles
ジャック,名詞,10,7
上流,名詞,10,7
なす,動詞,10,8
在位,名詞,10,8
分かる,動詞,10,4
内気,名詞,10,4
夫君,名詞,10,10
花婿,名詞,10,8
共通,名詞,10,10
憲法,名詞,10,8
悲嘆,名詞,10,9
世話,名詞,10,10
殺害,名詞,10,8
情勢,名詞,10,6
慕う,動詞,10,8
大使館,名詞,10,8
船,名詞,10,7
意味,名詞,10,10
ホテル,名詞,10,5
大,名詞,10,6
士官,名詞,10,8
記,名詞,10,3
興味,名詞,10,10
兼ねる,動詞,10,10
サロン,名詞,10,9
握る,動詞,10,10
円満,名詞,10,7
進む,動詞,10,9
団体,名詞,10,8
よい,形容詞,10,8
従う,動詞,10,10
従妹,名詞,10,10
従軍,名詞,10,10
親密,名詞,10,8
