word,pos,total,articles
個人,名詞,17,13
人々,名詞,17,16
使用,名詞,17,13
一般,名詞,17,17
禁止,名詞,17,12
入閣,名詞,17,2
保守党,名詞,17,5
維持,名詞,17,12
称す,動詞,17,14
一緒,名詞,17,12
ヴァイ,名詞,17,12
収める,動詞,17,12
養育,名詞,17,11
理由,名詞,17,15
集める,動詞,17,14
スキー,名詞,17,6
姿,名詞,17,12
軍務,名詞,17,17
ストックホルム,名詞,17,11
和平,名詞,17,15
購入,名詞,17,11
説得,名詞,17,12
幽閉,名詞,17,14
平民,名詞,17,14
当たる,動詞,17,17
制圧,名詞,17,10
設立,名詞,17,14
女官,名詞,17,9
基づく,動詞,17,15
高まる,動詞,17,13
勤務,名詞,17,15
初め,名詞,16,16
事業,名詞,16,9
移す,動詞,16,12
家庭,名詞,16,11
機,名詞,16,9
次女,名詞,16,16
本国,名詞,16,8
つける,動詞,16,13
遺骸,名詞,16,14
傍系,名詞,16,15
政,名詞,16,12
アルベール,名詞,16,8
住民,名詞,16,10
公務,名詞,16,7
退役,名詞,16,15
期待,名詞,16,15
残る,動詞,16,14
重要,名詞,16,13
布告,名詞,16,12
市民,名詞,16,13
無効,名詞,16,9
定める,動詞,16,15
マス,名詞,16,7
叔母,名詞,16,13
破る,動詞,16,11
分裂,名詞,16,9
評す,動詞,16,11
太,名詞,16,10
作家,名詞,16,11
ルー,名詞,16,10
領主,名詞,16,12
北イタリア,名詞,16,5
貿易,名詞,16,7
執り行う,動詞,16,13
旅行,名詞,16,13
駐屯,名詞,16,13
堂,名詞,16,16
規模,名詞,16,14
クリスチャン,名詞,16,9
後退,名詞,16,5
セント,名詞,15,12
撃破,名詞,15,5
教師,名詞,15,12
大衆,名詞,15,9
現地,名詞,15,8
全体,名詞,15,12
独,名詞,15,8
提督,名詞,15,14
移動,名詞,15,8
寺院,名詞,15,10
ホーコン,名詞,15,5
砲兵,名詞,15,12
執る,動詞,15,11
宣戦,名詞,15,11
居城,名詞,15,11
補佐,名詞,15,13
積極,名詞,15,12
友人,名詞,15,12
ロレーヌ,名詞,15,8
欧州,名詞,15,12
ロベルト,名詞,15,7
礼拝,名詞,15,15
社,名詞,15,11
ロ,名詞,15,7
無視,名詞,15,14
負傷,名詞,15,13
度目,名詞,15,11
嫡出,名詞,15,12
法律,名詞,15,13
世子,名詞,15,11
露,名詞,15,7
英軍,名詞,15,2
体制,名詞,15,12
組閣,名詞,15,3
復活,名詞,15,14
明らか,名詞,15,13
