"number","title","pageid","namespace","length","touched"
"327","高木貞治","65817","","14313","20220621071354"
"328","杉本良夫","66208","","6219","20220518130906"
"329","カール・ヤスパース","66357","","19605","20220308060510"
"330","ヒデミ・スガナミ","66848","","4358","20171125104716"
"331","渋川春海","67274","","18210","20220701012156"
"332","ヴァルター・ギーゼキング","68623","","16127","20211114161115"
"333","相磯秀夫","68970","","4772","20220120082818"
"334","内田祥三","69032","","18428","20220618153749"
"335","ジョン・デューイ","69216","","37455","20220616023857"
"336","長岡半太郎","69492","","24561","20220323071424"
"337","エンリコ・フェルミ","69494","","16482","20220606224401"
"338","西澤潤一","69587","","27640","20220627143334"
"339","中村秀一","69694","","1885","20171121122805"
"340","飯田良明","69701","","1498","20211019021223"
"341","コッラド・ジニ","69883","","1757","20210728093623"
"342","高橋亀吉","69972","","8631","20220325050820"
"343","北野大","69975","","19195","20220504132003"
"344","ブロニスワフ・マリノフスキ","70031","","11420","20220702074452"
"345","アーサー・クロンキスト","70055","","9492","20220210080418"
"346","本多光太郎","70352","","12469","20220613105504"
"347","和達清夫","70404","","14757","20220529080911"
"348","真島利行","70457","","3139","20210920014728"
"349","岡倉由三郎","70536","","11935","20220309014930"
"350","ジョヴァンニ・スキアパレッリ","70661","","4070","20220131082735"
"351","リチャード・ボーチャーズ","70663","","2280","20220210004346"
"352","小熊虎之助","70811","","4395","20190327143240"
"353","増本量","70855","","5737","20220608085124"
"354","猪口孝","70905","","12108","20220225052107"
"355","入江昭","71095","","9205","20220202124139"
"356","百瀬宏","71102","","6183","20220420221857"
"357","山影進","71105","","4776","20220630233548"
"358","山本吉宣","71106","","3593","20220630233625"
"359","鈴木基史","71295","","4869","20220513002804"
"360","大嶽秀夫","71343","","8947","20220504015133"
"361","佐々木毅","71882","","16560","20220302065837"
"362","大野晋","71913","","28215","20220519063740"
"363","香川照之","72076","","96786","20220702125110"
"364","杉田敦_(政治学者)","72216","","6178","20220622222952"
"365","河野勝","72231","","3822","20220302144520"
"366","ルートヴィッヒ・ボルツマン","72588","","8158","20220223010951"
"367","網干善教","72643","","12499","20220131234220"
"368","森永卓郎","72952","","68282","20220627144504"
"369","ミルトン・エリクソン","72969","","6989","20220315002723"
"370","由良三郎","73265","","4640","20210207054604"
