"number","title","pageid","namespace","length","touched"
"319","シャロン・ミッチェル","1536259","","9153","20211219105313"
"320","マリー＝ルイズ・フォン・フランツ","1539543","","4305","20220318100128"
"321","キャロライン・シューメーカー","1558608","","5431","20220323092020"
"322","池田優子","1563469","","3088","20210814052619"
"323","白波瀬佐和子","1568133","","4747","20220303111731"
"324","キャスリーン・ロンズデール","1569236","","7089","20220309003549"
"325","サラ・ブラファー・ハーディ","1570116","","13457","20210810083645"
"326","蜂須賀正子","1578541","","3115","20201026082127"
"327","フランソワーズ・バレ＝シヌシ","1579349","","3074","20220225014944"
"328","ドクトル・チエコ","1580995","","3471","20220214024535"
"329","内海愛子","1581640","","5613","20220615143759"
"330","須田美矢子","1582123","","3790","20210901193441"
"331","ジャン＝ポール・サルトル","1587304","","57665","20220523130015"
"332","レダ・コスミデス","1587423","","5394","20210203065856"
"333","河端恵美子","1591560","","6464","20210424005544"
"334","今西典子","1598328","","1851","20220416232838"
"335","アン・ダナム","1607524","","8373","20220612053134"
"336","伊藤美奈子_(心理学者)","1613810","","3932","20210611060154"
"337","ジュディス・リッチ・ハリス","1630966","","10925","20220409142305"
"338","能勢信子","1638129","","2838","20220603035034"
"339","柴田悦子","1638133","","1834","20211104143606"
"340","進藤奈邦子","1641078","","4794","20220110025251"
"341","キャロル・チョムスキー","1649597","","5986","20191124071633"
"342","ダイアン・フォッシー","1662077","","19897","20211026100759"
"343","田原裕子","1667197","","4782","20220217035416"
"344","フランシス・E・アレン","1673146","","11905","20211207214950"
"345","アイリス・マリオン・ヤング","1679697","","3455","20210522023338"
"346","浅田秀子","1682948","","4073","20211030230654"
"347","中田栄","1683261","","1245","20180406190920"
"348","ヴァージニア・アプガー","1683742","","11339","20201212085318"
"349","沓脱タケ子","1686382","","3786","20220604100713"
"350","エリース・ボールディング","1688410","","4162","20210402024257"
"351","上坊敏子","1689469","","2483","20220313040751"
"352","イヴェット・クーパー","1693419","","9458","20220412113823"
"353","ヘレン・メーガウ","1701325","","1474","20220309003838"
"354","カレン・ヴェッターハーン","1702625","","1535","20210504035111"
"355","スーザン・ジョージ_(政治経済学者)","1704643","","2573","20191221082226"
"356","安田まゆみ","1716739","","2897","20180105101423"
"357","マーガレット・アーチャー","1723773","","3359","20210801140926"
"358","三木壽子","1725144","","12394","20191226105614"
"359","伊藤順子","1745100","","2456","20220111094229"
"360","徳川陽子","1748676","","1650","20211117101342"
"361","塩見美喜子","1756832","","8260","20220622211532"
"362","小西聖子","1760705","","4627","20220111060937"
"363","サンドラ・ハーディング","1770568","","2773","20220329010048"
"364","下仲順子","1775513","","1822","20190717213447"
"365","佐藤恵美_(精神保健福祉士)","1776848","","2581","20201229055227"
"366","リリアン・ホドソン","1783799","","2696","20211219053216"
"367","石田佐恵子","1784698","","2432","20210625163951"
"368","柳澤田実","1786098","","3932","20220613080715"
"369","島田燁子","1786700","","3065","20220103115721"
"370","木田恵子","1787620","","1826","20170724130035"
"371","唐木幸子","1789385","","1502","20220515075212"
"372","ヘルタ・オーバーホイザー","1790199","","2332","20210508061757"
"373","宇佐美まゆみ","1792574","","3321","20220419034105"
"374","吉冨朝子","1793011","","2466","20220524003241"
"375","宇野公子","1793827","","3804","20211116141115"
"376","海野多枝","1793845","","2189","20220116081726"
"377","吉枝聡子","1793886","","2034","20200917032348"
"378","山下美知子","1795620","","1596","20200917030630"
"379","金指久美子","1796811","","3479","20220618113950"
"380","河路由佳","1798486","","5228","20211012103902"
"381","宗宮喜代子","1800191","","2148","20220618113624"
"382","鈴木玲子","1800207","","1416","20200917022914"
"383","斎藤弘子","1800418","","2116","20220603221811"
"384","早津惠美子","1800437","","2011","20200917024916"
"385","スーザン・リンドキスト","1803250","","9873","20220129125205"
"386","エリザベス・スペルキ","1803621","","6837","20210907042021"
"387","パスカル・コサール","1807745","","1909","20211108163413"
"388","中山智香子_(経済学者)","1808898","","3798","20211212034542"
"389","浅川智恵子","1810405","","18991","20220515075502"
"390","フロレンス・セービン","1813224","","7474","20200215031400"
"391","益子幸江","1813613","","1587","20200917033301"
"392","澤田ゆかり","1816580","","1723","20210520142714"
"393","アグネス・チャン","1824174","","71591","20220606142725"
"394","佐藤綾子_(心理学者)","1831844","","19261","20220104124406"
"395","クレマンス・ロワイエ","1831869","","4687","20211103083242"
"396","スーザン・ケアリー","1837652","","2255","20210724113531"
"397","木村好珠","1843539","","8076","20220402155447"
"398","原伸子","1847913","","2525","20210325072344"
"399","エディス・ペンローズ","1854267","","1724","20210713135444"
"400","大朝由美子","1855702","","4286","20220207000530"
"401","マリアンネ・コッホ","1877354","","4589","20210508061337"
"402","関礼子_(社会学者)","1877931","","1691","20220303112549"
"403","篠塚英子","1879405","","4971","20220301132458"
"404","小口悦子","1883498","","1839","20191226101310"
"405","上村協子","1883500","","3301","20220523035739"
"406","川上梅","1883503","","2655","20191226104024"
"407","中村アツコ","1883504","","2337","20201027084518"
"408","倉田澄子_(栄養学者)","1883516","","3090","20220403024843"
"409","渡来れい子","1883517","","1511","20191226105747"
"410","占部久子","1883526","","2476","20200203111630"
"411","福田千晶","1893873","","3927","20191211215620"
"412","キャロル・W・グライダー","1897591","","6612","20220112033827"
"413","和田朋子_(英語学者)","1906414","","2444","20220310073712"
"414","キャレン・アーレンベック","1912921","","2934","20210903150135"
"415","水無田気流","1912923","","8176","20220303122757"
"416","木村盛世","1915532","","8820","20220508232453"
"417","メアリー・グッド","1917174","","2634","20220409131911"
"418","キャサリン・ヘイルズ","1918180","","2607","20220219211433"
"419","紙屋克子","1923495","","12486","20220623072624"
"420","小川正子","1924126","","10672","20220110033205"
"421","キャサリン・エソー","1924971","","4048","20200115073519"
"422","エリノア・オストロム","1926842","","11540","20210910012408"
"423","山口トキコ","1928451","","5050","20220110034408"
"424","羽田節子","1940294","","5257","20210918062731"
"425","ペラゲーヤ・シャイン","1942527","","3872","20210829104618"
"426","タマラ・スミルノワ","1942542","","1513","20210821075740"
